id,prediction,Usage
1057,7,Public
1065,5,Private
1068,4,Private
1070,3,Public
1072,0,Public
1074,3,Public
1075,2,Private
1077,0,Private
1081,9,Public
1087,9,Private
1092,6,Private
1095,0,Public
1096,2,Private
1100,9,Public
1102,3,Private
1103,9,Public
1106,0,Public
1108,0,Private
1114,6,Private
1120,1,Private
1121,6,Public
1123,1,Public
1126,5,Private
1129,5,Public
1130,4,Public
1133,7,Public
1139,0,Private
1141,7,Public
1145,5,Private
1156,9,Private
1158,1,Private
1159,8,Private
1162,3,Public
1163,9,Private
1166,8,Private
1168,8,Private
1170,0,Public
1172,6,Private
1173,2,Public
1179,5,Public
1182,6,Private
1185,7,Private
1186,2,Private
1188,1,Public
1189,4,Public
1191,1,Private
1197,0,Private
1198,0,Private
1203,7,Public
1208,0,Public
1223,8,Public
1227,2,Public
1231,9,Public
1234,5,Private
1237,8,Public
1238,4,Public
1243,2,Public
1247,7,Private
1254,9,Private
1255,5,Public
1259,6,Public
1269,5,Public
1270,4,Public
1276,0,Public
1278,0,Private
1282,0,Private
1283,8,Public
1285,8,Public
1289,7,Public
1297,0,Public
1302,7,Private
1312,1,Public
1313,2,Public
1318,5,Private
1320,5,Private
1328,7,Private
1332,2,Public
1335,1,Public
1336,8,Public
1342,6,Private
1345,7,Public
1348,4,Public
1361,9,Public
1369,6,Private
1371,5,Private
1376,0,Public
1377,9,Public
1378,3,Public
1381,2,Public
1384,9,Public
1385,6,Public
1387,5,Private
1389,6,Private
1392,6,Private
1394,0,Public
1396,1,Private
1398,6,Private
1400,9,Private
1401,8,Public
1407,2,Public
1411,5,Public
1426,4,Private
1431,7,Public
1440,7,Public
1441,3,Private
1442,4,Private
1443,0,Private
1445,4,Public
1451,7,Private
1453,2,Private
1456,4,Public
1461,8,Public
1464,4,Public
1466,4,Private
1468,0,Public
1470,9,Private
1471,7,Private
1478,0,Public
1487,4,Public
1489,2,Private
1494,2,Private
1500,8,Private
1506,2,Private
1508,5,Private
1509,2,Private
1510,8,Private
1518,5,Private
1521,0,Public
1528,2,Public
1535,9,Private
1538,6,Private
1545,3,Private
1547,6,Private
1548,8,Private
1558,7,Private
1567,3,Private
1568,3,Private
1571,3,Public
1579,6,Public
1581,4,Public
1582,1,Public
1587,7,Private
1588,2,Public
1602,1,Private
1606,4,Public
1609,9,Private
1614,9,Public
1617,7,Public
1619,4,Public
1620,3,Private
1626,2,Public
1627,4,Public
1630,0,Private
1631,5,Public
1644,3,Public
1648,7,Public
1659,6,Private
1660,0,Public
1665,2,Private
1666,0,Private
1668,6,Public
1669,2,Public
1670,7,Public
1672,3,Public
1675,6,Private
1680,1,Private
1682,1,Public
1684,8,Public
1685,5,Public
1686,2,Public
1688,4,Public
1693,8,Public
1694,3,Private
1697,7,Private
1699,1,Public
1702,5,Private
1705,6,Public
1706,3,Private
1713,3,Public
1714,3,Public
1715,9,Public
1725,1,Public
1737,7,Public
1741,2,Public
1742,1,Public
1745,5,Private
1746,2,Public
1750,6,Public
1756,8,Private
1758,5,Public
1760,5,Public
1761,9,Private
1766,2,Private
1770,1,Private
1773,5,Public
1774,3,Private
1787,1,Private
